ï»¿Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira
SE,SP,BAURU,AUTO POSTO MAXIMO DE BAURU LTDA, 03.349.372/0001-16,RUA PADRE FRANCISCO VAN DER MAAS,46262,,JARDIM CONTORNO,17047-020,ETANOL,03/08/2026,"3,69",,R$ / litro,RAIZEN
SE,SP,BAURU,AUTO POSTO PRACA PORTUGAL LTDA., 02.921.185/0001-00,RUA RUBENS PAGANI,25659,,VILA SAMARITANA,17053-460,GASOLINA,03/08/2026,"6,49",,R$ / litro,VIBRA
SE,SP,BAURU,AUTO POSTO PRACA PORTUGAL LTDA., 02.921.185/0001-00,RUA RUBENS PAGANI,25659,,VILA SAMARITANA,17053-460,GASOLINA ADITIVADA,03/08/2026,"6,79",,R$ / litro,VIBRA
SE,SP,BAURU,AUTO POSTO PRACA PORTUGAL LTDA., 02.921.185/0001-00,RUA RUBENS PAGANI,25659,,VILA SAMARITANA,17053-460,ETANOL,03/08/2026,"3,69",,R$ / litro,VIBRA
SE,SP,BAURU,AUTO POSTO DUQUE 21 DE MOURA LTDA, 02.769.811/0001-87,AVENIDA DUQUE DE CAXIAS,21-30,,JARDIM HIGIENOPOLIS,17044-140,GASOLINA,03/08/2026,"6,39",,R$ / litro,RAIZEN
SE,SP,BAURU,AUTO POSTO DUQUE 21 DE MOURA LTDA, 02.769.811/0001-87,AVENIDA DUQUE DE CAXIAS,21-30,,JARDIM HIGIENOPOLIS,17044-140,ETANOL,03/08/2026,"3,59",,R$ / litro,RAIZEN
SE,SP,BAURU,REDE LK DE POSTOS LTDA, 01.820.806/0001-99,AVENIDA GETULIO VARGAS,46162,,VL GUEDES AZEVEDO,17017-000,GASOLINA,03/08/2026,"6,49",,R$ / litro,RAIZEN
SE,SP,BAURU,REDE LK DE POSTOS LTDA, 01.820.806/0001-99,AVENIDA GETULIO VARGAS,46162,,VL GUEDES AZEVEDO,17017-000,ETANOL,03/08/2026,"3,69",,R$ / litro,RAIZEN
SE,SP,BAURU,REDE LK DE POSTOS LTDA, 01.820.806/0009-46,RUA EZEQUIEL RAMOS,46042,,CENTRO,17010-021,GASOLINA,03/08/2026,"6,29",,R$ / litro,RAIZEN
SE,SP,BAURU,REDE LK DE POSTOS LTDA, 01.820.806/0009-46,RUA EZEQUIEL RAMOS,46042,,CENTRO,17010-021,ETANOL,03/08/2026,"3,47",,R$ / litro,RAIZEN
