Modelo,Fabricante,Veiculos_Vendidos,Part_Mercado_Pct
M.BENZ EQA 250,M.BENZ,182,0.0208
ZEEKR 001 FLAGSHIP,ZEEKR,181,0.0207
M.BENZ C200 AMG LINE- HEV,M.BENZ,180,0.0206
LR DEF110D HSE 7L,LAND ROVER,177,0.0203
M.BENZ GLB220 4M PROG,M.BENZ,177,0.0203
OMODA 7 PHEV LUXURY,OMODA JAECOO,177,0.0203
PORSCHE PANAMERA 4EHST,PORSCHE,177,0.0203
PORSCHE TAYCAN  4CT,PORSCHE,175,0.02
BMW I3 BEV 120AH,BMW,174,0.0199
LR DISC SPT D200 SE RD PHEV,LAND ROVER,173,0.0198
MG MG4 URB EV54KWH LUX,MG,171,0.0196
JAG FPACE P340 RDYN SE,JAGUAR,170,0.0195
M.BENZ CLA200 PROG,M.BENZ,168,0.0192
M.BENZ GLA200 PROG,M.BENZ,168,0.0192
LEXUS UX250H DYNAMIC,LEXUS,162,0.0186
M.BENZ CLA200,M.BENZ,161,0.0184
MG MG4 64 KWH AWD,MG,159,0.0182
VOLVO XC90 T8 INSCRIPT PHEV,VOLVO,155,0.0178
LR DISC D300 HSERD,LAND ROVER,154,0.0176
ZEEKR X PREMIUM,ZEEKR,153,0.0175
JAC E-J7,JAC,152,0.0174
BMW I4 40,BMW,151,0.0173
AUDI E TRON,AUDI,150,0.0172
LR DISC SPT D200 SE 7L PHEV,LAND ROVER,150,0.0172
LR DEF90D HSE,LAND ROVER,148,0.017
VOLVO EX40 PERF ULTRA,VOLVO,148,0.017
FIAT E SCUDO CARGO,FIAT,147,0.0168
M.BENZ GLS 450 4M,M.BENZ,147,0.0168
LR DEF110D X 7L,LAND ROVER,138,0.0158
BYD HAN AWD GS 680EV,BYD,136,0.0156
VOLVO XC60 T8 R-DESIGN PHEV                                                               I/VOLVO XC60 T8 R-DESIGN PHEV,VOLVO,135,0.0155
BMW I4 EDRIVE35,BMW,128,0.0147
PORSCHE CAYENNE TCPHEV,PORSCHE,127,0.0145
LR DEF110 PHEV HSE XD,LAND ROVER,125,0.0143
AUDI Q6 ETRON QUATTRO,AUDI,124,0.0142
BMW I4 M50,BMW,124,0.0142
CAOACHERY TIGGO5X H,CAOA CHERY,120,0.0137
JAG FPACE PHEV RDYN SE,JAGUAR,120,0.0137
PORSCHE MACAN ETURBO,PORSCHE,120,0.0137
AUDI Q8 E TRON 55,AUDI,119,0.0136
M.BENZ C300 AMG LINE- HEV,M.BENZ,119,0.0136
MG CYBERSTER 77KWH AWD,MG,117,0.0134
LR DEF130D X,LAND ROVER,116,0.0133
M.BENZ AMG CLA35 4M,M.BENZ,116,0.0133
PORSCHE PANAMERA TSEHY,PORSCHE,114,0.0131
VOLVO XC60 T8 POLESTAR PHEV,VOLVO,112,0.0128
NETA AYA COMFORT 4S,NETA,111,0.0127
MINI ACEMAN E,MINI,106,0.0121
BMW X5 XDRIVE50E XLINE,BMW,104,0.0119
PORSCHE CAYENNE CP TSP,PORSCHE,104,0.0119
FORD ETRANSIT 350 FL,FORD,102,0.0117
LR DEF110D SE XD,LAND ROVER,102,0.0117
LR DEF110D S XD,LAND ROVER,101,0.0116
AUDI RS E TRON GT,AUDI,100,0.0115
GAC AION Y PREMIUM,GAC,100,0.0115
KIA NIRO HEV SX RIOPEN,KIA,100,0.0115
LR RR D350 AB,LAND ROVER,100,0.0115
M.BENZ 320 ESPRINTER F,M.BENZ,100,0.0115
NEXTEM ORCA FEVER FN1C,FEVER,100,0.0115
M.BENZ AMG G63 4M,M.BENZ,99,0.0113
MINI COUNTRYMAN SE EXC,MINI,99,0.0113
BMW I7 XDRIVE60,BMW,98,0.0112
KIA CARNIVAL HEV EX,KIA,97,0.0111
FERRARI 296 GTB,FERRARI,96,0.011
LR VELAR PHEV HSE RDYN,LAND ROVER,96,0.011
